CollectionID,LoanID,CollectionDate,AmountCollected,OutstandingBalance,CollectionStatus,Remarks
45,45,2024-07-02,7923,12466,Full,On time
46,46,2024-01-12,14354,58474,Full,Pending
47,47,2024-05-09,17776,85919,Partial,Pending
48,48,2024-05-23,16299,67664,Overdue,Pending
49,49,2024-02-15,1335,18907,Partial,Pending
50,50,2024-04-29,10192,33694,Full,Pending
51,51,2024-04-01,8074,38371,Full,Delayed
52,52,2024-07-07,16940,77619,Overdue,Delayed
53,53,2024-07-10,967,72715,Full,Delayed
54,54,2024-06-02,1400,72090,Overdue,Pending
55,55,2024-08-16,18606,23812,Partial,On time
56,56,2024-03-24,16428,14214,Overdue,Delayed
57,57,2024-06-06,6872,41424,Overdue,Delayed
58,58,2024-06-16,12427,28110,Overdue,Pending
59,59,2024-04-01,16809,41374,Full,Delayed
60,60,2024-04-21,8143,84533,Partial,Delayed
61,61,2024-04-04,3226,67640,Partial,On time
62,62,2024-08-25,11726,85176,Full,Delayed
63,63,2024-03-05,15946,95404,Partial,Delayed
64,64,2024-05-10,14188,64979,Partial,On time
65,65,2024-03-02,17957,9727,Partial,Pending
66,66,2024-08-20,1170,11553,Partial,On time
67,67,2024-05-07,6174,88049,Full,Pending
68,68,2024-08-18,8645,53190,Full,Pending
69,69,2024-05-26,5288,87637,Partial,Pending
70,70,2024-02-02,18507,58,Full,On time
71,71,2024-02-09,17770,96273,Partial,Pending
72,72,2024-02-01,11843,57049,Overdue,Delayed
73,73,2024-02-01,14966,4611,Full,Delayed
74,74,2024-10-13,578,7213,Full,Pending
75,75,2024-01-04,17676,45500,Overdue,Pending
76,76,2024-02-28,2998,87624,Full,On time
77,77,2024-07-28,5338,66591,Overdue,Pending
78,78,2024-06-15,8205,89226,Overdue,Pending
79,79,2024-07-10,13699,37272,Partial,Delayed
80,80,2024-02-05,19718,57669,Partial,Delayed
81,81,2024-09-27,9504,48889,Full,Delayed
82,82,2024-09-08,5607,54062,Overdue,On time
83,83,2024-02-28,1222,72813,Full,Pending
84,84,2024-01-20,6949,86283,Full,Delayed
85,85,2024-01-01,9961,82539,Overdue,Delayed
86,86,2024-07-01,16908,97273,Partial,On time
87,87,2024-03-09,16640,9844,Overdue,Delayed
88,88,2024-01-13,6044,22860,Partial,Delayed
89,89,2024-02-21,10129,94991,Full,Delayed
90,90,2024-04-23,5110,59694,Partial,On time
91,91,2024-05-22,14258,72636,Full,On time
92,92,2024-09-20,10724,75938,Full,On time
93,93,2024-09-23,8623,84765,Full,Pending
94,94,2024-09-28,4993,28893,Partial,Pending
95,95,2024-05-18,10961,947,Overdue,On time
96,96,2024-09-15,1632,54946,Overdue,Pending
97,97,2024-08-10,12879,14338,Partial,On time
98,98,2024-02-03,7581,49384,Partial,Delayed
99,99,2024-01-16,760,662,Overdue,Pending
100,100,2024-03-05,14753,71469,Partial,Delayed
101,101,2024-04-30,14755,39801,Overdue,On time
102,102,2024-05-08,12481,57301,Full,Pending
103,103,2024-02-08,3302,29695,Partial,Pending
104,104,2024-01-16,2382,29961,Overdue,On time
105,105,2024-08-14,12603,27830,Partial,Pending
106,106,2024-02-01,17273,12615,Partial,Pending
107,107,2024-01-16,18827,53303,Overdue,On time
108,108,2024-08-26,6155,30834,Overdue,Pending
109,109,2024-01-01,7288,10331,Overdue,Pending
110,110,2024-03-15,9298,76944,Overdue,Pending
111,111,2024-03-06,3037,56244,Partial,On time
112,112,2024-05-31,18599,34965,Partial,On time
113,113,2024-07-09,9690,84168,Full,Delayed
114,114,2024-02-11,635,91340,Partial,On time
115,115,2024-04-13,6512,68346,Full,On time
116,116,2024-08-18,14766,67801,Partial,Pending
117,117,2024-04-23,14664,1760,Full,On time
118,118,2024-08-27,15042,28999,Partial,On time
119,119,2024-07-23,19085,16665,Overdue,On time
120,120,2024-01-28,2551,13988,Overdue,On time
121,121,2024-08-25,19806,99870,Partial,Delayed
122,122,2024-04-20,19305,12178,Full,Delayed
123,123,2024-02-23,5307,14532,Overdue,On time
124,124,2024-01-26,649,20503,Full,Delayed
125,125,2024-06-28,17893,30039,Full,Pending
126,126,2024-08-23,6182,95431,Overdue,Pending
127,127,2024-04-10,15058,38813,Overdue,Delayed
128,128,2024-03-02,16969,60121,Full,Delayed
129,129,2024-09-06,1872,32297,Full,Delayed
130,130,2024-09-28,5116,34747,Full,On time
131,131,2024-07-18,17626,29828,Partial,On time
132,132,2024-02-07,16166,29348,Partial,On time
133,133,2024-07-11,6168,17820,Overdue,On time
134,134,2024-08-23,16348,42320,Partial,Delayed
135,135,2024-03-27,4868,15811,Partial,Delayed
136,136,2024-09-24,5925,84803,Overdue,Delayed
137,137,2024-04-20,3485,46016,Partial,On time
138,138,2024-01-13,5046,6600,Overdue,Delayed
139,139,2024-06-01,18355,22644,Overdue,Delayed
140,140,2024-05-11,19783,91268,Partial,Pending
141,141,2024-09-15,7936,14432,Overdue,Pending
142,142,2024-03-04,10345,7837,Full,Delayed
143,143,2024-09-26,4037,97108,Full,Pending
144,144,2024-07-02,2200,51576,Overdue,Delayed
145,145,2024-06-24,13248,56099,Partial,On time
146,146,2024-05-19,6965,88780,Partial,On time
147,147,2024-07-16,12065,82801,Full,Delayed
148,148,2024-04-28,19310,56125,Overdue,Pending
149,149,2024-04-24,19305,78335,Partial,On time
150,150,2024-09-10,5533,25420,Full,Delayed
151,151,2024-10-01,8332,8955,Overdue,On time
152,152,2024-06-04,1417,42156,Full,On time
153,153,2024-06-11,7339,93834,Overdue,Pending
154,154,2024-04-01,3670,82818,Overdue,Pending
155,155,2024-04-30,5537,34157,Overdue,Delayed
156,156,2024-09-15,7505,90726,Overdue,Delayed
157,157,2024-05-06,15113,17327,Partial,On time
158,158,2024-03-22,6330,10980,Partial,On time
159,159,2024-04-03,1624,95525,Partial,On time
160,160,2024-06-28,3973,54876,Full,Delayed
161,161,2024-02-27,9956,61567,Overdue,On time
162,162,2024-09-30,3600,88857,Partial,On time
163,163,2024-03-01,15187,25081,Partial,On time
164,164,2024-01-15,14208,63911,Full,Delayed
165,165,2024-01-31,17075,12043,Overdue,Delayed
166,166,2024-01-23,2732,41191,Partial,Delayed
167,167,2024-08-16,5442,98188,Partial,Delayed
168,168,2024-02-15,11397,3552,Partial,On time
169,169,2024-02-27,18439,34381,Full,Pending
170,170,2024-02-11,7250,84401,Partial,Delayed
171,171,2024-06-23,17090,56892,Overdue,Pending
172,172,2024-02-18,4701,23316,Overdue,Pending
173,173,2024-02-27,2753,60291,Overdue,Pending
174,174,2024-10-07,16580,18850,Partial,Delayed
175,175,2024-01-29,14950,23004,Partial,On time
176,176,2024-04-19,11595,39541,Overdue,Delayed
177,177,2024-10-26,14136,66610,Partial,On time
178,178,2024-05-09,5643,69472,Partial,On time
179,179,2024-09-24,12676,43001,Full,Pending
180,180,2024-05-04,8118,70742,Full,Pending
181,181,2024-08-12,13902,32250,Overdue,Pending
182,182,2024-04-02,16350,81528,Overdue,Pending
183,183,2024-10-06,11562,96311,Partial,Delayed
184,184,2024-07-06,4277,52897,Overdue,On time
185,185,2024-06-18,6356,4098,Full,Delayed
186,186,2024-06-08,19270,99033,Full,Delayed
187,187,2024-02-17,18628,95465,Full,Pending
188,188,2024-09-07,5066,82304,Partial,Pending
189,189,2024-09-16,18675,12368,Partial,On time
190,190,2024-09-17,5399,60899,Partial,Pending
191,191,2024-08-02,16910,77342,Full,Delayed
192,192,2024-10-10,17836,6619,Full,Pending
193,193,2024-08-16,11335,43362,Full,Delayed
194,194,2024-04-27,11813,94460,Full,Delayed
195,195,2024-10-02,4531,2316,Full,Pending
196,196,2024-03-22,13893,43351,Partial,Delayed
197,197,2024-07-02,4904,93147,Partial,Pending
198,198,2024-09-11,1893,83,Partial,On time
199,199,2024-01-14,8194,20975,Partial,Delayed
200,200,2024-05-21,6705,44426,Overdue,Pending
201,201,2024-03-01,13869,88159,Overdue,Pending
202,202,2024-05-31,790,41181,Partial,On time
203,203,2024-03-15,6640,46397,Full,On time
204,204,2024-05-14,10951,88779,Overdue,On time
205,205,2024-01-26,9852,73287,Full,On time
206,206,2024-01-19,7671,43349,Partial,On time
207,207,2024-01-13,19083,53011,Overdue,Delayed
208,208,2024-04-07,18498,55972,Partial,On time
209,209,2024-05-31,4971,40099,Partial,Delayed
210,210,2024-03-13,13741,48536,Overdue,Delayed
211,211,2024-07-12,18810,74845,Full,On time
212,212,2024-06-29,9839,50438,Partial,Delayed
213,213,2024-09-12,7565,66819,Full,Pending
214,214,2024-06-03,5779,41940,Overdue,Delayed
215,215,2024-10-02,12918,92215,Full,On time
216,216,2024-05-05,6015,21416,Partial,Delayed
217,217,2024-06-23,10865,42097,Full,Pending
218,218,2024-02-21,12159,55816,Overdue,Pending
219,219,2024-05-06,5315,6955,Partial,On time
220,220,2024-10-16,19952,62494,Partial,Pending
221,221,2024-10-01,18371,36648,Overdue,On time
222,222,2024-06-13,11384,42612,Overdue,Delayed
223,223,2024-09-12,19726,17525,Partial,Delayed
224,224,2024-05-02,7557,67031,Overdue,On time
225,225,2024-10-18,6001,25495,Partial,Pending
226,226,2024-08-08,6361,55463,Partial,On time
227,227,2024-09-28,16051,27213,Partial,On time
228,228,2024-03-12,3648,8627,Full,Pending
229,229,2024-01-03,17889,38949,Full,Pending
230,230,2024-03-04,15365,70854,Overdue,Pending
231,231,2024-04-07,11219,26046,Full,On time
232,232,2024-06-10,1726,81397,Partial,On time
233,233,2024-02-06,13205,48490,Overdue,On time
234,234,2024-07-08,19334,50627,Partial,On time
235,235,2024-05-09,4864,73331,Full,On time
236,236,2024-02-27,19014,27213,Full,Pending
237,237,2024-01-17,11171,82627,Overdue,Pending
238,238,2024-02-24,12629,32278,Overdue,Pending
239,239,2024-04-03,15499,30598,Full,On time
240,240,2024-07-18,6981,42567,Full,On time
241,241,2024-08-22,12268,95201,Full,On time
242,242,2024-07-11,14970,88937,Overdue,On time
243,243,2024-04-17,14960,80030,Overdue,Delayed
244,244,2024-03-19,17256,85583,Overdue,Delayed
245,245,2024-10-06,3055,44474,Partial,Delayed
246,246,2024-03-11,12621,30677,Overdue,Delayed
247,247,2024-06-11,17921,10966,Partial,Pending
248,248,2024-01-15,6174,93617,Full,Pending
249,249,2024-10-26,16080,6621,Partial,On time
250,250,2024-01-04,4027,45887,Overdue,On time
251,251,2024-09-02,6408,2315,Partial,Pending
252,252,2024-05-20,8301,12166,Partial,On time
253,253,2024-10-03,14112,40118,Overdue,Delayed
254,254,2024-05-13,8910,17116,Overdue,Delayed
255,255,2024-08-26,1520,62904,Full,Pending
256,256,2024-05-24,3702,32407,Partial,Delayed
257,257,2024-05-10,18245,4698,Partial,On time
258,258,2024-01-02,4586,92789,Full,Delayed
259,259,2024-02-10,658,34858,Overdue,Pending
260,260,2024-07-06,3951,88958,Partial,Delayed
261,261,2024-10-26,14715,75916,Full,Pending
262,262,2024-07-13,9881,13035,Full,Delayed
263,263,2024-03-19,14989,33080,Partial,Delayed
264,264,2024-03-22,14181,87472,Overdue,Delayed
265,265,2024-02-27,9662,38842,Full,Delayed
266,266,2024-05-09,5746,92505,Partial,On time
267,267,2024-09-21,6550,79021,Full,Delayed
268,268,2024-09-12,1498,91560,Partial,Pending
269,269,2024-10-13,1050,42476,Full,On time
270,270,2024-10-15,10361,99929,Partial,On time
271,271,2024-07-15,5851,54570,Full,On time
272,272,2024-04-16,16215,39949,Partial,Delayed
273,273,2024-07-25,14294,32817,Full,On time
274,274,2024-05-31,5659,72014,Partial,Delayed
275,275,2024-07-24,8692,32538,Overdue,Pending
276,276,2024-08-17,2921,33498,Partial,Pending
277,277,2024-08-25,18589,8999,Partial,On time
278,278,2024-08-25,14398,68663,Partial,Pending
279,279,2024-03-17,12837,67348,Full,Delayed
280,280,2024-06-17,2407,84331,Partial,Delayed
281,281,2024-10-25,7445,94876,Full,On time
282,282,2024-10-10,2957,33222,Partial,Pending
283,283,2024-01-16,1603,30461,Full,Pending
284,284,2024-06-25,12779,14058,Full,On time
285,285,2024-10-06,8078,80296,Overdue,Delayed
286,286,2024-08-17,8650,10153,Partial,On time
287,287,2024-07-31,15326,26525,Partial,Delayed
288,288,2024-04-22,14343,70639,Overdue,Delayed
289,289,2024-07-28,19761,38945,Full,Delayed
290,290,2024-10-20,6377,85717,Partial,Pending
291,291,2024-06-26,12732,57081,Partial,Delayed
292,292,2024-01-18,8824,1949,Full,Pending
293,293,2024-04-20,10795,37481,Overdue,Delayed
294,294,2024-05-09,11602,63633,Partial,Delayed
295,295,2024-01-07,1632,83994,Full,On time
296,296,2024-06-07,11655,90163,Overdue,Delayed
297,297,2024-08-16,6089,91829,Partial,Delayed
298,298,2024-08-31,19068,1850,Partial,Delayed
299,299,2024-01-25,16166,82283,Partial,Delayed
300,300,2024-07-03,18792,89892,Overdue,Delayed
301,301,2024-06-11,1308,15663,Overdue,Delayed
302,302,2024-06-29,13517,87731,Overdue,Delayed
303,303,2024-08-24,9234,10743,Partial,Pending
304,304,2024-08-10,18726,94021,Partial,Delayed
305,305,2024-03-30,2132,65640,Overdue,Pending
306,306,2024-05-02,2400,36129,Partial,Delayed
307,307,2024-08-17,10758,81538,Full,Delayed
308,308,2024-03-27,13802,30865,Partial,Pending
309,309,2024-06-23,17852,65474,Full,On time
310,310,2024-04-12,2172,11003,Partial,Delayed
311,311,2024-04-26,8505,50933,Full,On time
312,312,2024-09-10,10116,44034,Full,On time
313,313,2024-01-16,11951,67483,Full,Pending
314,314,2024-03-30,542,36061,Overdue,Delayed
315,315,2024-09-16,13717,85607,Full,Delayed
316,316,2024-08-13,17550,53864,Overdue,On time
317,317,2024-04-08,9599,71845,Overdue,Delayed
318,318,2024-06-02,9684,25256,Partial,Delayed
319,319,2024-04-13,808,43197,Overdue,Delayed
320,320,2024-01-02,11351,75119,Overdue,On time
321,321,2024-07-25,12004,2496,Partial,On time
322,322,2024-03-30,19759,5571,Partial,On time
323,323,2024-01-16,6621,133,Full,On time
324,324,2024-03-27,5067,28218,Partial,Delayed
325,325,2024-06-23,17841,79046,Partial,Delayed
326,326,2024-04-02,19711,63131,Overdue,Pending
327,327,2024-06-03,18373,71131,Partial,On time
328,328,2024-01-01,3689,781,Overdue,Pending
329,329,2024-06-15,5703,34306,Full,Delayed
330,330,2024-01-19,13739,59043,Partial,Delayed
331,331,2024-01-30,15313,27382,Overdue,On time
332,332,2024-04-16,8453,33356,Partial,On time
333,333,2024-07-26,856,25106,Full,Pending
334,334,2024-07-31,19324,27189,Overdue,On time
335,335,2024-06-10,963,63243,Overdue,On time
336,336,2024-01-07,15589,57040,Partial,Delayed
337,337,2024-07-13,3550,7219,Partial,Pending
338,338,2024-10-11,10952,4884,Partial,Pending
339,339,2024-10-24,2013,55360,Full,Pending
340,340,2024-09-05,1304,52308,Full,On time
341,341,2024-04-28,5876,9374,Full,On time
342,342,2024-10-25,4405,61785,Full,Delayed
343,343,2024-08-21,18958,41850,Overdue,Delayed
344,344,2024-09-14,9735,58124,Overdue,Pending
345,345,2024-01-20,2748,53128,Full,Pending
346,346,2024-07-11,14065,93555,Full,On time
347,347,2024-08-13,8513,43450,Partial,Pending
348,348,2024-03-23,10807,43981,Overdue,On time
349,349,2024-07-26,2773,46661,Overdue,Delayed
350,350,2024-09-13,19170,34102,Overdue,Pending
351,351,2024-08-02,14469,20316,Partial,Delayed
352,352,2024-04-21,2677,48713,Full,On time
353,353,2024-02-15,18774,94286,Partial,Pending
354,354,2024-04-01,19129,2227,Partial,On time
355,355,2024-05-31,10206,77639,Overdue,On time
356,356,2024-08-05,9138,2321,Overdue,Pending
357,357,2024-10-08,18995,7869,Partial,Delayed
358,358,2024-05-07,6748,35534,Partial,On time
359,359,2024-03-09,11001,97804,Partial,Pending
360,360,2024-07-30,12613,76934,Full,On time
361,361,2024-09-11,15084,56109,Partial,On time
362,362,2024-03-18,15008,35831,Full,Delayed
363,363,2024-01-06,19307,76608,Full,Pending
364,364,2024-09-23,6549,62528,Overdue,Pending
365,365,2024-06-15,3571,68020,Full,Pending
366,366,2024-01-31,3638,78452,Full,On time
367,367,2024-05-07,19503,62778,Overdue,Pending
368,368,2024-09-08,3499,27812,Full,Pending
369,369,2024-04-05,7570,65564,Partial,Delayed
370,370,2024-07-05,4779,78766,Overdue,Delayed
371,371,2024-01-09,2229,64886,Partial,Delayed
372,372,2024-02-08,18904,83501,Overdue,On time
373,373,2024-02-20,10609,27009,Overdue,Pending
374,374,2024-10-18,3817,91497,Partial,Delayed
375,375,2024-10-10,15278,79872,Partial,Delayed
376,376,2024-04-10,3114,48963,Full,Pending
377,377,2024-03-06,18283,1724,Partial,Pending
378,378,2024-09-12,16580,72784,Overdue,On time
379,379,2024-04-23,3595,99148,Partial,On time
380,380,2024-09-17,10515,84369,Full,On time
381,381,2024-04-09,2967,76773,Partial,Delayed
382,382,2024-06-10,4741,71240,Full,Delayed
383,383,2024-03-03,16721,35899,Overdue,Pending
384,384,2024-06-14,7873,80346,Full,On time
385,385,2024-03-20,17256,75034,Partial,On time
386,386,2024-10-10,13521,86972,Partial,Delayed
387,387,2024-03-04,7830,6574,Full,Delayed
388,388,2024-05-20,16173,64324,Full,Delayed
389,389,2024-02-07,5446,59892,Partial,Pending
390,390,2024-10-24,7204,64047,Full,Delayed
391,391,2024-04-22,8959,84574,Overdue,Pending
392,392,2024-04-30,2333,80428,Partial,Delayed
393,393,2024-07-29,1340,84849,Partial,Pending
394,394,2024-09-25,10695,46169,Overdue,Pending
395,395,2024-08-01,8213,63171,Partial,Pending
396,396,2024-09-05,5475,47850,Full,Pending
397,397,2024-01-27,10151,16898,Partial,Pending
398,398,2024-01-30,5504,73266,Overdue,Pending
399,399,2024-03-01,4431,36693,Partial,Pending
400,400,2024-02-17,7987,63851,Partial,On time
401,401,2024-01-02,18680,13645,Full,Delayed
402,402,2024-04-03,10926,95317,Overdue,On time
403,403,2024-01-26,9032,68692,Full,Delayed
404,404,2024-10-26,5675,28435,Full,On time
405,405,2024-10-21,12493,83753,Full,Delayed
406,406,2024-04-14,14952,98305,Full,On time
407,407,2024-03-10,15461,52938,Overdue,Pending
408,408,2024-02-14,12905,55417,Partial,On time
409,409,2024-10-24,17868,28907,Partial,Pending
410,410,2024-06-24,7839,46419,Partial,On time
411,411,2024-05-11,16687,20373,Overdue,Delayed
412,412,2024-02-17,15394,46766,Overdue,On time
413,413,2024-07-13,9016,71113,Partial,Delayed
414,414,2024-10-24,2776,26594,Overdue,On time
415,415,2024-07-26,13359,43641,Partial,Delayed
416,416,2024-06-29,18396,88066,Partial,Delayed
417,417,2024-07-17,6935,84080,Full,On time
418,418,2024-02-17,14807,12238,Partial,Pending
419,419,2024-07-05,957,15122,Overdue,Delayed
420,420,2024-09-16,6030,71940,Full,On time
421,421,2024-08-26,2756,22032,Partial,Delayed
422,422,2024-04-18,7083,24508,Partial,On time
423,423,2024-02-02,10601,34935,Overdue,Pending
424,424,2024-05-18,3349,91450,Overdue,On time
425,425,2024-02-05,6978,74431,Partial,On time
426,426,2024-05-17,5611,55926,Partial,Pending
427,427,2024-03-09,3377,67166,Partial,Delayed
428,428,2024-05-30,3493,65409,Partial,Delayed
429,429,2024-03-14,12984,78550,Overdue,Delayed
430,430,2024-07-30,8887,88210,Full,Pending
431,431,2024-04-07,3846,94524,Overdue,On time
432,432,2024-10-08,4493,45787,Overdue,On time
433,433,2024-01-08,10965,76170,Full,Pending
434,434,2024-08-28,15796,44109,Full,On time
435,435,2024-10-24,16193,63178,Full,Delayed
436,436,2024-02-03,16449,94861,Full,Delayed
437,437,2024-01-25,4489,15256,Full,Pending
438,438,2024-03-04,1224,29609,Partial,On time
439,439,2024-02-26,3556,62209,Overdue,On time
440,440,2024-05-12,18452,14210,Partial,Delayed
441,441,2024-03-03,4620,80574,Overdue,Delayed
442,442,2024-07-21,2190,92950,Overdue,Pending
443,443,2024-09-24,13332,9410,Partial,Pending
444,444,2024-07-26,14820,85173,Partial,Pending
445,445,2024-03-16,14543,27318,Overdue,Pending
446,446,2024-07-04,11802,17706,Full,Pending
447,447,2024-10-21,10724,85597,Full,Delayed
448,448,2024-09-02,3895,22071,Full,On time
449,449,2024-05-16,11969,12858,Partial,Delayed
450,450,2024-01-12,16027,30830,Overdue,On time
451,451,2024-05-12,13462,44697,Partial,On time
452,452,2024-05-31,12051,50744,Overdue,Pending
453,453,2024-10-20,3381,85669,Full,On time
454,454,2024-06-16,17770,64393,Full,Pending
455,455,2024-02-10,4752,75458,Full,On time
456,456,2024-07-18,11957,87973,Full,Delayed
457,457,2024-06-05,18733,37120,Full,On time
458,458,2024-03-23,12177,70881,Overdue,Delayed
459,459,2024-03-06,10670,26311,Overdue,Delayed
460,460,2024-03-14,14066,82096,Partial,On time
461,461,2024-08-29,11265,51716,Overdue,Pending
462,462,2024-09-04,7529,36579,Full,On time
463,463,2024-07-06,6573,99081,Overdue,On time
464,464,2024-10-27,19479,92997,Full,Delayed
465,465,2024-08-15,3262,45491,Partial,Delayed
466,466,2024-10-17,18654,21352,Full,Pending
467,467,2024-09-27,4903,62008,Full,Delayed
468,468,2024-01-26,7367,79964,Full,On time
469,469,2024-10-16,1605,58210,Partial,Pending
470,470,2024-03-29,9592,74724,Partial,On time
471,471,2024-09-12,7995,23374,Overdue,Pending
472,472,2024-07-10,9126,66788,Full,Delayed
473,473,2024-08-04,11857,1430,Overdue,Delayed
474,474,2024-10-26,4340,81223,Overdue,Pending
475,475,2024-06-26,13566,79903,Partial,On time
476,476,2024-05-30,11321,79005,Full,On time
477,477,2024-05-05,1170,8279,Partial,Pending
478,478,2024-09-06,19502,44996,Overdue,Delayed
479,479,2024-05-23,11305,92818,Overdue,Pending
480,480,2024-03-18,7277,19187,Overdue,On time
481,481,2024-01-17,656,97108,Partial,Delayed
482,482,2024-01-15,5499,31431,Partial,Delayed
483,483,2024-06-24,11185,89020,Overdue,Pending
484,484,2024-03-14,2730,20995,Overdue,Delayed
485,485,2024-01-02,17512,71153,Partial,Delayed
486,486,2024-08-09,10590,3286,Partial,Delayed
487,487,2024-05-18,6931,86586,Partial,Pending
488,488,2024-01-07,13256,76924,Partial,Pending
489,489,2024-09-15,16127,25895,Full,Delayed
490,490,2024-05-24,16793,7717,Partial,Delayed
491,491,2024-09-08,4587,41941,Overdue,Delayed
492,492,2024-05-11,9412,89245,Overdue,On time
493,493,2024-06-10,6419,85196,Overdue,On time
494,494,2024-10-18,13113,21293,Partial,Delayed
495,495,2024-01-03,18997,19795,Overdue,Pending
496,496,2024-05-02,14497,58799,Partial,On time
497,497,2024-06-28,1298,29113,Overdue,Delayed
498,498,2024-02-03,2125,12012,Overdue,On time
499,499,2024-02-22,13403,44801,Partial,Pending
500,500,2024-02-07,19490,22247,Full,Delayed
501,501,2024-08-18,1896,84016,Overdue,On time
502,502,2024-07-21,14725,34762,Partial,Pending
503,503,2024-08-06,15871,38405,Partial,Delayed
504,504,2024-10-24,2145,23674,Overdue,Pending
505,505,2024-02-15,4261,87514,Partial,Delayed
506,506,2024-08-18,12722,3828,Overdue,Pending
507,507,2024-02-22,8683,974,Partial,Pending
508,508,2024-07-02,1598,54741,Overdue,On time
509,509,2024-07-10,14386,77881,Partial,Delayed
510,510,2024-08-02,18823,16366,Full,Pending
511,511,2024-08-02,10507,51302,Partial,Pending
512,512,2024-10-08,10457,92935,Full,On time
513,513,2024-10-22,1873,66293,Overdue,Delayed
514,514,2024-05-12,4236,24235,Full,Delayed
515,515,2024-02-16,1049,26669,Overdue,Pending
516,516,2024-08-30,9176,64284,Overdue,On time
517,517,2024-01-13,13003,63235,Overdue,Delayed
518,518,2024-09-04,16889,68114,Partial,Delayed
519,519,2024-05-03,17312,33760,Partial,Pending
520,520,2024-04-05,9249,57853,Full,Pending
521,521,2024-05-01,18428,94836,Partial,Delayed
522,522,2024-07-27,3240,40732,Overdue,Pending
523,523,2024-06-14,18638,92234,Full,On time
524,524,2024-04-23,752,68475,Full,On time
525,525,2024-01-16,4899,40474,Overdue,Pending
526,526,2024-02-11,8600,66636,Partial,Delayed
527,527,2024-01-22,1252,71042,Full,Pending
528,528,2024-04-26,17614,3607,Partial,Delayed
529,529,2024-09-15,2432,2082,Overdue,On time
530,530,2024-02-23,7417,5665,Overdue,On time
531,531,2024-09-27,7102,54076,Full,On time
532,532,2024-04-10,2106,88463,Overdue,Delayed
533,533,2024-05-27,521,75569,Overdue,Delayed
534,534,2024-02-29,6596,46928,Full,On time
535,535,2024-04-19,14316,69002,Partial,On time
536,536,2024-05-12,14979,47461,Overdue,Delayed
537,537,2024-06-09,9286,4184,Partial,On time
538,538,2024-01-29,4857,25324,Overdue,Pending
539,539,2024-07-25,18201,64021,Full,Pending
540,540,2024-05-21,4416,47097,Partial,On time
541,541,2024-01-30,14291,8074,Partial,On time
542,542,2024-07-12,10613,47689,Partial,Pending
543,543,2024-04-29,14271,57072,Overdue,Pending
544,544,2024-10-13,8942,80709,Full,Delayed
545,545,2024-04-26,16959,81779,Full,Delayed
546,546,2024-06-07,6103,34200,Partial,On time
547,547,2024-01-09,2880,86326,Overdue,Pending
548,548,2024-01-11,6390,60212,Overdue,Pending
549,549,2024-04-20,19718,59136,Overdue,On time
550,550,2024-05-07,14680,95389,Full,Pending
551,551,2024-03-12,16289,54977,Overdue,Pending
552,552,2024-10-03,10871,39736,Overdue,Delayed
553,553,2024-02-06,16502,27547,Full,Delayed
554,554,2024-02-23,11379,88050,Full,Delayed
555,555,2024-07-22,1815,11322,Partial,On time
556,556,2024-08-22,1497,93883,Partial,On time
