LoanID,ProductID,LoanAmount,LoanDate,InterestRate,LoanTerm,EmployeeID,BranchID,CustomerID,RepaymentSchedule
92,8,3613720,2020-10-01,9.51,131,120,1,6375,Quarterly
93,5,4322347,2022-01-31,8.64,209,107,6,8307,Quarterly
94,3,903012,2024-01-07,9.65,110,176,3,6027,Quarterly
95,7,1441625,2020-08-30,8.2,14,118,9,8102,Quarterly
96,8,2483839,2024-08-02,9.04,22,134,3,5197,Quarterly
97,8,76915,2022-08-28,11.76,23,150,1,3227,Quarterly
98,2,2504740,2020-06-12,10,231,189,4,3273,Quarterly
99,8,1627650,2022-12-03,8.25,98,182,1,3031,Yearly
100,8,3180834,2024-07-20,10.73,156,135,6,5532,Quarterly
101,4,4094489,2020-02-03,8.45,28,159,2,1881,Monthly
102,3,772103,2023-12-27,9.28,240,131,1,1156,Yearly
103,6,1699387,2023-11-11,9.81,103,186,5,5426,Yearly
104,4,1125336,2024-05-11,10.78,55,163,7,4210,Yearly
105,6,2293979,2023-12-28,8.57,67,186,3,8563,Monthly
106,8,2202318,2022-10-26,11.52,217,166,1,7960,Yearly
107,7,2611370,2023-08-01,11.17,18,170,10,3163,Monthly
108,2,1912145,2023-01-01,8.51,26,191,10,1943,Quarterly
109,5,3354131,2022-07-04,9.06,39,130,3,4783,Quarterly
110,1,2762596,2022-06-17,9.28,222,177,2,9126,Quarterly
111,2,2409841,2021-06-04,11.26,15,186,9,7749,Quarterly
112,5,3619001,2020-04-19,11.92,181,147,10,6603,Yearly
113,5,3112962,2022-08-02,11.11,39,187,6,1661,Monthly
114,7,475043,2024-10-17,7.83,44,145,10,4098,Yearly
115,7,2134817,2022-03-20,10.32,50,163,10,6966,Monthly
116,2,2164613,2020-07-09,7.65,219,162,6,5062,Monthly
117,2,843460,2024-01-10,9.43,146,159,8,7269,Monthly
118,8,3839024,2021-06-09,10.53,202,146,9,4565,Quarterly
119,8,791325,2020-06-09,8.53,43,114,9,6702,Quarterly
120,7,4750789,2022-06-25,9.48,75,141,5,1608,Yearly
121,1,1170403,2020-03-25,9.39,29,134,5,9551,Yearly
122,7,2520493,2022-06-10,10.33,133,107,3,6323,Quarterly
123,1,2038920,2024-02-15,11.98,135,119,2,4609,Yearly
124,5,316283,2020-09-13,10.8,175,161,6,7551,Yearly
125,2,4486199,2021-01-29,8.49,180,172,3,5611,Yearly
126,3,2035660,2024-04-19,10.51,26,104,2,7694,Quarterly
127,1,4632900,2020-08-26,9.7,227,125,9,8977,Quarterly
128,8,451365,2022-05-13,10.85,198,121,4,6670,Quarterly
129,2,1576468,2022-02-22,8.18,231,125,1,2010,Quarterly
130,7,2128318,2021-02-15,8.55,124,188,8,5978,Yearly
131,8,1121084,2022-05-22,9.43,198,168,2,7190,Monthly
132,3,1838769,2022-05-05,10,173,163,2,9277,Quarterly
133,6,2809270,2022-03-09,8.56,120,139,10,7798,Monthly
134,8,3125080,2020-02-14,11.58,61,165,5,7778,Yearly
135,2,323006,2020-12-12,9.76,69,168,2,3778,Yearly
136,4,941592,2021-06-26,8.15,210,116,9,3659,Monthly
137,7,4501753,2021-04-14,9.45,170,130,6,2069,Quarterly
138,2,1667483,2023-10-19,10.44,28,169,2,3883,Quarterly
139,4,3158200,2023-02-22,8.68,40,110,3,5426,Yearly
140,2,3655347,2021-06-28,9.07,147,190,3,9656,Yearly
141,6,1460910,2022-03-22,11.03,36,192,1,5050,Quarterly
142,6,806221,2022-01-03,7.77,220,186,7,8756,Yearly
143,6,844068,2024-02-15,11.59,30,177,1,9557,Yearly
144,1,3005155,2021-07-15,8.13,28,152,2,8360,Monthly
145,2,1549154,2024-06-26,11.81,203,132,2,9962,Yearly
146,3,4110214,2020-04-12,11.93,67,156,3,5150,Quarterly
147,3,2265273,2022-12-01,6.99,212,126,3,1651,Monthly
148,8,4454632,2020-09-19,6.98,75,187,9,3318,Quarterly
149,3,1772027,2021-03-26,8.64,83,148,3,9597,Monthly
150,2,868079,2021-04-23,8.57,215,181,4,7274,Monthly
151,2,3584442,2024-03-20,7.86,227,155,10,2355,Yearly
152,4,369655,2023-07-06,9.49,95,156,8,6762,Quarterly
153,5,4963616,2023-04-05,11.98,91,118,9,1708,Yearly
154,6,4666095,2022-01-09,7.98,60,108,5,8122,Monthly
155,7,4438280,2023-09-29,9.68,23,175,7,8827,Quarterly
156,8,2532594,2021-06-03,11.25,163,149,5,7412,Quarterly
157,1,792210,2021-10-17,8.86,125,182,9,3831,Yearly
158,3,861591,2022-12-08,9.14,24,171,3,9419,Yearly
159,8,1388664,2020-06-17,10.57,171,103,7,8307,Monthly
160,8,819068,2022-04-01,9.8,91,143,4,6477,Monthly
161,8,589255,2020-12-26,8.59,135,198,1,3149,Monthly
162,2,3876462,2020-06-12,7.09,206,133,3,9928,Quarterly
163,7,2388670,2021-06-04,6.65,197,107,2,8121,Yearly
164,8,1212799,2023-12-12,11.57,107,186,8,3026,Yearly
165,3,181119,2023-05-23,8.6,99,101,2,9719,Quarterly
166,4,1849611,2024-01-19,10.55,25,191,8,9998,Monthly
167,7,4969032,2022-07-25,7.21,62,124,7,2702,Quarterly
168,4,2126357,2024-01-19,6.67,118,146,7,4082,Monthly
169,1,2579953,2024-07-12,10.74,138,194,4,4905,Quarterly
170,1,4889619,2021-12-26,11.45,201,170,7,4909,Monthly
171,5,4912629,2023-03-25,11.85,161,128,9,6322,Yearly
172,7,4817572,2023-04-26,9.49,119,191,4,1835,Monthly
173,2,236811,2024-01-14,8.18,159,149,7,6313,Monthly
174,6,3741496,2022-03-26,9.07,84,171,4,4761,Quarterly
175,7,4255549,2021-03-26,10.9,100,191,4,6323,Monthly
176,7,3490910,2024-07-06,8.49,12,108,2,4041,Quarterly
177,8,1629901,2023-09-12,9.1,220,132,10,1217,Yearly
178,7,2197878,2020-02-06,6.85,119,123,9,1587,Quarterly
179,4,3730323,2022-06-16,8.99,220,187,9,2639,Quarterly
180,6,3891921,2023-10-26,8.52,110,140,8,6313,Yearly
181,7,2407839,2023-04-01,8.91,164,141,1,5619,Monthly
182,5,1367894,2022-09-07,8.92,128,163,5,4709,Monthly
183,6,1610819,2024-07-05,6.83,113,145,3,1943,Quarterly
184,2,4105033,2020-05-07,8.21,152,166,4,3109,Monthly
185,7,1521196,2020-10-29,6.58,74,115,1,4893,Yearly
186,7,4994870,2024-07-08,10.01,146,139,6,6047,Monthly
187,1,4795446,2023-01-04,7.73,156,152,1,6399,Monthly
188,3,1152020,2023-09-03,10.79,145,100,2,3564,Monthly
189,6,2837801,2022-04-26,8.47,220,199,9,2260,Yearly
190,4,4527296,2022-11-06,8.22,16,170,4,5008,Yearly
191,1,2224736,2022-04-19,8.28,159,144,4,1032,Quarterly
192,1,4442963,2022-04-09,11.45,180,142,7,1782,Yearly
193,6,2988839,2020-11-01,10.11,22,150,2,6661,Monthly
194,8,3137576,2022-03-04,10.81,231,106,5,5079,Yearly
195,5,3016082,2023-04-30,11.53,110,152,8,5813,Quarterly
196,1,2404017,2023-12-03,9.78,39,109,8,7812,Yearly
197,1,2766259,2022-01-21,9.22,109,171,2,2403,Quarterly
198,4,3673431,2021-08-28,7.71,190,118,7,4475,Monthly
199,5,1278580,2024-06-03,7.08,85,167,7,8827,Yearly
200,5,2156315,2022-11-14,10.7,209,164,3,8722,Monthly
201,2,1280028,2021-07-12,7.92,140,159,8,1201,Monthly
202,6,755203,2022-08-31,10.77,148,127,9,8415,Yearly
203,4,1338666,2024-08-28,10.92,152,151,6,3724,Monthly
204,1,4195401,2020-02-02,7.04,37,108,1,6683,Monthly
205,7,4110781,2020-01-27,9.35,214,176,1,1926,Quarterly
206,6,1066391,2020-07-30,11.5,176,184,8,3715,Monthly
207,7,3896240,2020-02-07,10.38,61,138,1,4222,Quarterly
208,5,2950023,2023-07-01,10.97,13,113,10,8824,Yearly
209,8,433701,2020-10-30,11.41,154,175,6,8851,Monthly
210,2,2194002,2024-06-19,9.61,88,104,3,5703,Yearly
211,1,2452048,2020-11-18,7.89,19,114,1,3031,Quarterly
212,6,3532591,2023-10-17,6.85,77,114,3,2634,Monthly
213,6,4841728,2022-12-28,9.03,223,141,3,2543,Quarterly
214,8,1065250,2021-11-12,9.59,86,131,8,5541,Quarterly
215,2,4234212,2022-05-30,8.66,90,141,1,6568,Monthly
216,3,1765052,2022-02-21,9.08,78,173,10,9102,Monthly
217,4,806673,2021-08-22,7.9,64,196,4,1431,Monthly
218,5,4682408,2020-04-15,6.7,74,178,1,2843,Yearly
219,4,3949745,2020-03-14,10.05,175,111,3,9225,Monthly
220,5,2335332,2020-10-12,11.77,92,149,9,6473,Yearly
221,5,831243,2020-06-25,10.8,198,116,10,7367,Yearly
222,5,3958420,2021-11-04,9.83,141,144,6,5853,Yearly
223,5,4926779,2021-01-13,9.6,193,146,1,2570,Quarterly
224,7,2864276,2021-01-07,8.22,51,186,7,6567,Monthly
225,3,138878,2020-09-25,9.31,214,172,4,1656,Monthly
226,4,4421770,2021-02-07,9.1,117,142,1,9641,Monthly
227,5,942357,2023-03-14,9.49,27,175,6,3218,Monthly
228,1,4132603,2024-10-24,11.27,143,101,5,9469,Monthly
229,4,920348,2021-07-28,6.73,45,189,4,1608,Yearly
230,8,186352,2020-12-10,6.62,19,151,1,9831,Monthly
231,7,4184557,2021-07-26,8.48,188,157,5,5252,Yearly
232,8,1222017,2022-02-26,11.12,165,171,5,4039,Quarterly
233,7,4565436,2022-07-04,10.23,75,165,5,4944,Monthly
234,7,237161,2023-12-21,9.9,39,143,2,5089,Quarterly
235,7,2446126,2020-08-23,7.27,76,145,9,5130,Quarterly
236,2,4897614,2023-11-09,11.67,139,190,1,1587,Yearly
237,4,350390,2022-05-08,10.55,152,195,3,3370,Quarterly
238,5,4246960,2023-08-19,7.73,236,115,9,2193,Quarterly
239,7,115405,2022-10-01,9.51,125,133,8,1750,Quarterly
240,5,1630244,2022-03-10,11.88,98,148,4,3645,Yearly
241,7,2409338,2021-05-18,10.6,181,182,8,6573,Monthly
242,3,1351567,2020-08-17,7.76,43,149,7,3566,Quarterly
243,5,4316640,2022-05-11,9.08,209,183,1,8674,Yearly
244,3,3267703,2020-07-12,10.2,157,146,3,5050,Monthly
245,5,702926,2023-04-04,8.98,91,115,2,4740,Quarterly
246,5,2840527,2023-04-22,11.63,41,178,8,6019,Quarterly
247,7,4341500,2022-10-30,8.39,69,160,9,4041,Yearly
248,7,2878424,2020-07-05,10.67,72,180,1,8368,Yearly
249,3,248437,2022-03-13,10.2,84,139,1,9719,Yearly
250,3,4628034,2022-04-02,7.96,115,123,3,4471,Quarterly
251,1,2907312,2021-07-06,9.47,26,128,10,9957,Yearly
252,6,367496,2023-09-30,6.86,80,148,10,9885,Quarterly
253,5,918294,2020-08-03,10.4,129,129,8,8862,Yearly
254,1,1828352,2024-03-07,9.78,227,132,10,2706,Yearly
255,3,4317735,2021-09-15,7.1,237,116,3,4871,Quarterly
256,8,2045493,2023-05-04,8.37,39,118,7,2720,Yearly
257,6,1069453,2021-07-08,6.56,146,146,8,6654,Yearly
258,1,1609337,2024-03-08,10.19,160,114,8,3422,Monthly
259,1,4326629,2020-12-02,8.71,179,128,7,8010,Quarterly
260,8,1917178,2021-03-22,10.6,210,122,3,1557,Monthly
261,2,4037369,2024-08-06,6.94,127,139,5,5337,Monthly
262,3,4355530,2023-09-01,7.42,236,130,8,4083,Quarterly
263,3,760632,2021-11-09,11,77,100,10,7881,Yearly
264,2,1178304,2020-11-26,7.38,76,110,8,4027,Yearly
265,7,166226,2023-10-03,11.97,162,177,2,4998,Yearly
266,4,97566,2022-03-15,10.7,21,198,3,1808,Quarterly
267,1,1949483,2020-11-16,7.41,117,179,3,3165,Monthly
268,6,4333906,2020-04-18,9.05,240,125,1,9315,Yearly
269,5,2640545,2020-08-14,7.39,75,188,8,5512,Quarterly
270,6,4163779,2020-08-06,7.44,43,150,3,3220,Monthly
271,3,2534394,2022-02-17,11.85,55,176,2,6422,Monthly
272,6,4955752,2023-10-17,11.76,188,166,3,5975,Quarterly
273,6,3211710,2020-02-28,11.84,60,192,9,9089,Yearly
274,1,4849140,2024-03-26,7.98,53,137,1,2893,Yearly
275,1,1764726,2021-04-07,9.4,86,192,7,9641,Yearly
276,7,4006975,2020-01-03,9,59,121,4,9647,Yearly
277,7,1532074,2020-04-27,6.69,47,113,8,7894,Quarterly
278,6,4014844,2023-04-28,8.42,22,123,10,9974,Quarterly
279,1,4028297,2022-04-07,8.53,42,126,3,8297,Yearly
280,7,4507464,2021-04-16,9.98,37,196,8,9193,Quarterly
281,8,670086,2022-10-21,11.72,38,143,7,5204,Yearly
282,3,4486538,2023-04-30,6.57,222,123,4,1782,Yearly
283,8,113279,2020-01-12,9.61,84,186,3,3109,Monthly
284,3,2732856,2024-05-20,11.57,115,155,4,5703,Monthly
285,5,3454598,2024-03-04,10.66,75,111,9,5850,Quarterly
286,7,372748,2024-01-25,10.47,104,129,1,2893,Quarterly
287,2,2383804,2023-09-16,9.43,118,101,6,4366,Quarterly
288,1,2647519,2023-06-08,7.43,110,120,1,9714,Yearly
289,1,2485243,2020-08-05,10.5,184,196,4,8339,Quarterly
290,8,3548238,2024-08-05,9.18,47,196,9,1265,Quarterly
291,7,1113727,2021-12-02,7.98,168,181,6,3090,Yearly
292,3,3461964,2020-01-11,9.7,116,152,7,1249,Yearly
293,7,3833735,2023-04-09,10.05,202,157,3,6654,Yearly
294,6,424457,2024-02-06,10.56,175,142,2,6095,Quarterly
295,2,2097778,2021-01-11,10.24,51,157,1,3239,Yearly
296,6,2716349,2024-07-21,10.06,213,133,9,2828,Monthly
297,5,3395810,2023-01-20,10.49,175,194,2,5905,Monthly
298,5,3739642,2022-11-01,10.16,220,176,1,3592,Quarterly
299,6,1982812,2022-07-29,7.12,236,118,5,8334,Monthly
300,6,2421756,2023-05-29,6.79,132,112,1,2543,Quarterly
301,2,1918442,2020-06-20,10.91,148,196,7,7367,Quarterly
302,8,3328539,2020-10-08,6.56,55,108,4,7063,Monthly
303,1,944106,2023-02-09,7.22,44,198,2,6152,Quarterly
304,8,3564267,2024-07-19,7.38,126,198,4,2741,Quarterly
305,1,4915871,2022-11-22,7.65,27,132,7,6384,Yearly
306,6,1288586,2020-09-06,7.28,157,146,10,1274,Quarterly
307,6,1304108,2023-11-29,6.86,230,183,7,4720,Quarterly
308,1,2221070,2022-06-19,6.62,55,180,3,7328,Quarterly
309,7,60681,2021-09-23,8.2,13,140,4,6308,Quarterly
310,1,4567137,2021-07-02,9.89,91,197,2,2783,Monthly
311,8,1298129,2024-09-18,10.51,170,186,1,7735,Quarterly
312,5,4609966,2020-05-02,6.51,36,133,5,4454,Yearly
313,1,2148168,2023-04-08,6.62,145,144,10,8898,Monthly
314,2,3300266,2021-08-16,11.75,197,119,2,6037,Monthly
315,7,2008891,2022-07-17,7.94,76,116,8,1912,Quarterly
316,8,3741965,2023-04-27,9.51,70,195,9,5062,Yearly
317,8,3880975,2020-11-27,11.86,35,125,8,5552,Monthly
318,5,2562028,2023-01-21,10.33,30,103,2,6782,Monthly
319,6,802203,2024-02-20,11.83,46,162,2,5689,Yearly
320,8,2062621,2020-09-20,7.76,69,106,1,5840,Monthly
321,6,2104577,2023-09-22,7.15,30,100,8,6867,Yearly
322,2,2101980,2021-08-11,10.81,28,117,10,6216,Yearly
323,8,640604,2021-03-10,7.96,30,182,10,1909,Quarterly
324,3,1312771,2020-04-20,9.79,214,166,10,2240,Yearly
325,2,3166745,2021-08-22,8.3,164,132,9,5113,Quarterly
326,4,978626,2020-03-19,8.87,142,144,6,4094,Quarterly
327,7,1376629,2022-01-10,9.07,68,166,3,5023,Yearly
328,5,582067,2024-02-28,9.85,114,164,9,7225,Quarterly
329,3,3730590,2023-04-22,7.21,40,183,10,1526,Quarterly
330,7,3023326,2020-07-14,11.86,141,166,2,7330,Yearly
331,6,3487506,2024-08-06,11.45,188,156,8,1832,Quarterly
332,7,4665791,2022-08-14,8.2,96,124,6,3625,Quarterly
333,3,2031949,2024-04-01,8.81,84,185,7,4063,Monthly
334,1,1177346,2024-07-16,9.36,34,182,1,6618,Quarterly
335,4,4379660,2023-10-27,7.54,86,168,1,2543,Monthly
336,5,3570235,2020-02-21,10.99,218,182,3,5632,Yearly
337,2,849359,2020-04-25,10.08,208,159,10,2924,Yearly
338,6,3410822,2022-11-20,11.98,174,112,6,1048,Yearly
339,5,1180106,2020-06-23,7.67,32,130,2,4332,Yearly
340,3,1372652,2022-11-15,8.73,83,114,2,3117,Monthly
341,2,4103778,2020-05-13,8.3,178,176,6,9885,Monthly
342,3,1791970,2023-06-13,9.79,217,167,1,9098,Yearly
343,8,4410866,2021-01-02,8,204,171,1,6931,Monthly
344,7,2395828,2021-10-19,10.06,43,152,2,1912,Quarterly
345,1,3335978,2024-06-13,10.6,26,166,3,4210,Yearly
346,2,255460,2023-11-25,7.44,64,153,5,7067,Quarterly
347,4,3739795,2024-07-25,11.24,125,137,5,4882,Quarterly
348,3,701803,2021-04-07,10.26,114,176,4,3778,Quarterly
349,4,4859131,2021-12-24,8.8,31,171,2,4469,Yearly
350,2,1133467,2020-08-11,10.96,101,125,8,3721,Quarterly
351,4,832626,2020-04-24,10.84,216,114,2,6868,Quarterly
352,3,4758240,2021-03-15,7.61,80,123,4,1247,Quarterly
353,4,306513,2024-02-27,6.65,84,137,8,7367,Monthly
354,6,1923020,2020-02-29,8.67,137,185,6,3678,Quarterly
355,6,1302202,2024-01-04,7.48,219,169,3,7330,Quarterly
356,8,475475,2020-05-22,7.79,91,121,3,3537,Yearly
357,1,1759892,2022-01-23,11.81,171,158,3,3041,Yearly
358,6,3888906,2021-02-09,6.66,46,186,3,3422,Quarterly
359,6,204367,2020-02-14,8.6,35,114,4,5958,Yearly
360,1,2667838,2021-06-19,9.97,58,196,5,5574,Yearly
361,5,1864825,2020-06-04,8.2,17,147,7,4183,Quarterly
362,8,1569562,2022-08-12,10.84,138,133,3,3031,Monthly
363,1,177170,2020-10-29,8.94,183,115,3,7022,Yearly
364,1,1173129,2023-11-18,10.39,38,175,9,2069,Quarterly
365,8,2885145,2021-06-14,7.45,129,148,2,9102,Quarterly
366,4,2471756,2020-07-17,7.04,148,155,5,9448,Monthly
367,5,349704,2020-11-26,7.94,171,109,10,4943,Monthly
368,7,2833878,2020-12-20,9.12,12,170,7,5050,Quarterly
369,5,4540624,2024-03-24,8.58,51,195,2,9033,Yearly
370,4,130551,2021-11-16,9.57,158,162,9,5130,Yearly
371,2,1504738,2020-07-15,9.9,95,152,10,5749,Yearly
372,3,4755947,2021-09-21,10.73,225,176,10,7249,Yearly
373,5,4914272,2023-08-17,11.28,17,188,8,9469,Monthly
374,1,3708243,2022-11-14,9.04,60,134,5,5371,Quarterly
375,3,454493,2023-06-02,7.61,26,145,3,9302,Yearly
376,3,2932127,2022-10-04,11.22,44,163,7,4210,Monthly
377,5,4207290,2021-01-10,7.82,107,136,9,6384,Monthly
378,4,2549256,2024-08-23,6.73,181,192,3,2634,Yearly
379,2,1612192,2021-03-02,7.28,215,157,1,1387,Yearly
380,4,1942984,2022-09-26,6.92,207,144,9,6047,Quarterly
381,1,59008,2021-10-24,8.32,194,184,4,8102,Yearly
382,7,4997958,2020-05-21,11.08,92,128,9,4654,Yearly
383,8,321615,2021-06-22,10.76,146,198,5,6875,Monthly
384,6,2673324,2022-11-08,11.3,23,182,1,6706,Yearly
385,6,2755179,2020-07-15,11.45,170,140,6,6384,Monthly
386,5,4594406,2021-01-10,9.8,35,145,6,3867,Monthly
387,1,489541,2022-04-30,8.69,208,176,5,6095,Monthly
388,8,332771,2021-03-14,9.55,66,103,5,5062,Quarterly
389,4,2948214,2023-07-13,7.1,107,105,5,6187,Yearly
390,8,4650652,2021-06-06,9.51,152,156,1,1541,Yearly
391,4,3750177,2023-02-23,6.99,49,110,10,1782,Quarterly
392,6,981268,2024-09-15,11.13,28,135,3,9966,Quarterly
393,8,2486790,2021-05-27,10.57,196,142,7,9155,Monthly
394,8,1512278,2023-09-24,10.92,180,148,4,7363,Quarterly
395,1,368875,2022-01-26,11.54,60,168,8,8756,Yearly
396,8,3066092,2020-05-06,10.42,229,162,8,1651,Yearly
397,5,551749,2021-02-18,11.01,168,178,10,2950,Monthly
398,5,2046526,2020-11-06,7.04,223,148,7,1540,Monthly
399,5,1970358,2023-03-14,8.51,185,118,1,2741,Monthly
400,4,3265228,2021-05-05,8.09,30,158,1,3528,Yearly
401,7,611622,2020-02-18,8.51,61,170,8,1374,Monthly
402,8,3287365,2024-02-21,7.52,26,145,3,9126,Quarterly
403,6,770578,2020-09-07,11.33,18,145,2,2240,Monthly
404,5,1000483,2020-01-20,9.03,161,158,4,4069,Quarterly
405,5,3310752,2020-01-23,11.99,141,147,3,5129,Quarterly
406,2,3448481,2021-07-11,11.86,114,108,2,2859,Yearly
407,1,2567805,2020-10-03,6.91,100,100,1,5380,Yearly
408,8,2999454,2022-05-31,11.62,102,195,2,7225,Quarterly
409,2,4109988,2023-07-17,10.86,193,196,6,4210,Quarterly
410,4,4234548,2024-01-18,10.71,12,141,1,3479,Monthly
411,6,1323627,2021-01-29,11.18,73,150,1,5981,Monthly
412,2,3455074,2021-10-02,7.25,186,174,2,6966,Yearly
413,6,3789427,2021-03-20,6.92,14,166,3,8255,Yearly
414,5,2856053,2022-04-21,9.07,56,126,4,4975,Quarterly
415,7,1652067,2024-06-13,8.12,192,172,3,4742,Yearly
416,3,121449,2023-10-31,10.92,141,105,7,2362,Yearly
417,5,2099642,2023-07-04,8.43,170,136,7,6568,Quarterly
418,6,4226487,2022-01-13,8.66,80,139,3,7328,Monthly
